Section,Task Name,Description,Assignee,Due Date,Priority,Milestone,Dependencies,Status,Notes
SPC 2.0 Build 1 Scope and Management,Create Asana project and import task list,Create the Asana project and import all tasks from this CSV. Verify all sections and priorities.,Kevin McAuley,2026-07-17,P0,M1,,Not Started,
SPC 2.0 Build 1 Scope and Management,Create GitHub repo and push scaffold,Initialize git repo at github.com/PoolHombre/SPC20. Push complete scaffold.,Kevin McAuley,2026-07-17,P0,M1,,Not Started,
SPC 2.0 Build 1 Scope and Management,Create Supabase project,Create Supabase project for SPC 2.0. Save project URL and service role key securely (not in repo).,Kevin McAuley,2026-07-18,P0,M1,,Not Started,
SPC 2.0 Build 1 Scope and Management,Apply Supabase migrations 000001 and 000002,Run supabase db push. Verify readings_1min / trial_runs / calibration_events tables exist.,Kevin McAuley,2026-07-18,P0,M1,Create Supabase project,Not Started,
SPC 2.0 Build 1 Scope and Management,Deploy spc20-ingest Edge Function,supabase functions deploy spc20-ingest. Test with curl from local machine.,Kevin McAuley,2026-07-19,P0,M1,Apply Supabase migrations 000001 and 000002,Not Started,
SPC 2.0 Build 1 Scope and Management,Define DEVICE_ID and token for Bench unit,Assign DEVICE_ID spc20-b1-bench-0001. Generate DEVICE_TOKEN. Insert devices row in Supabase.,Kevin McAuley,2026-07-19,P1,M1,,Not Started,
SPC 2.0 Build 1 Scope and Management,Create trial_runs row for Bench phase,INSERT trial_run with trial_phase=BENCH device_id and started_at.,Kevin McAuley,2026-07-19,P1,M1,Define DEVICE_ID and token for Bench unit,Not Started,
SPC 2.0 Build 1 Scope and Management,Review and lock Build 1 scope,Confirm feature freeze: read-only monitoring only. No pump control. Document in ADR.,Kevin McAuley,2026-07-18,P0,M1,,Not Started,
Build 1A — Bench Hardware,Image Raspberry Pi SD card,Download RPi OS Bookworm Lite 64-bit. Use Pi Imager with pre-configured SSH and hostname.,Kevin McAuley,2026-07-20,P0,M2,,Not Started,Use MAX Endurance or pSLC card — not a standard SD card.
Build 1A — Bench Hardware,Install Sequent Microsystems HAT,Attach HAT to Pi GPIO headers. Confirm I2C address. Install Python library. Verify HAT firmware version.,Kevin McAuley,2026-07-21,P0,M2,Image Raspberry Pi SD card,Not Started,
Build 1A — Bench Hardware,Wire 24V loop power supply on bench,Mount Mean Well HDR-60-24 on bench DIN rail. Wire fuse block. Verify 24V output with DMM.,Kevin McAuley,2026-07-21,P0,M2,,Not Started,
Build 1A — Bench Hardware,Inject known 4-20 mA signals on all 4 AI channels,Use Fluke 709 to inject 4 / 12 / 20 mA on each channel. Verify scaling in Python matches expected EU values.,Kevin McAuley,2026-07-22,P0,M2,Wire 24V loop power supply on bench,Not Started,
Build 1A — Bench Hardware,Verify pump DI wiring,Wire dry-contact switch to DI-1. Toggle switch. Verify pump_running toggles in /api/status.,Kevin McAuley,2026-07-22,P1,M2,Install Sequent Microsystems HAT,Not Started,
Build 1A — Bench Hardware,Run ambient_zero calibration on all channels,With transmitters vented/isolated run ambient_zero on P1/P2/P3. Verify offsets stored.,Kevin McAuley,2026-07-23,P0,M2,Inject known 4-20 mA signals on all 4 AI channels,Not Started,
Build 1A — Bench Software and Supabase,Install Python package on Pi,pip install -e .[dev] on Pi. Verify import spc20 works.,Kevin McAuley,2026-07-20,P0,M3,Image Raspberry Pi SD card,Not Started,
Build 1A — Bench Software and Supabase,Configure /etc/spc20/.env on Pi,Set DEVICE_ID DEVICE_TOKEN SUPABASE_INGEST_URL SENSOR_ADAPTER=sequent. Verify permissions 640.,Kevin McAuley,2026-07-20,P0,M3,Install Python package on Pi,Not Started,
Build 1A — Bench Software and Supabase,Run simulator and verify GREEN reading in Supabase,SIM_SCENARIO=green python -m spc20.services.logger_service. Confirm row in readings_1min.,Kevin McAuley,2026-07-21,P0,M3,Configure /etc/spc20/.env on Pi,Not Started,
Build 1A — Bench Software and Supabase,Run all simulator scenarios and verify heuristic reason codes,Test green / yellow_filter / red_no_flow / red_loss_of_prime / fault_under / fault_over / invalid_p3_p2. All must fire correct reason code.,Kevin McAuley,2026-07-22,P0,M3,Run simulator and verify GREEN reading in Supabase,Not Started,
Build 1A — Bench Software and Supabase,Verify /api/status contains no secrets,curl /api/status | grep -i token should return nothing. grep -i service_role should return nothing.,Kevin McAuley,2026-07-22,P0,M3,,Not Started,
Build 1A — Bench Software and Supabase,Enable and test dashboard auth,Set DASHBOARD_PASSWORD_HASH. Verify 401 on /api/calibration/* without credentials.,Kevin McAuley,2026-07-23,P1,M3,,Not Started,
Build 1A — Bench Software and Supabase,Enable spc20-logger.service systemd,sudo systemctl enable --now spc20-logger.service. Verify auto-start on reboot.,Kevin McAuley,2026-07-23,P0,M3,,Not Started,
Build 1A — Bench Validation Gate,Run complete pytest suite,pytest tests/ -v. All tests must pass with 0 failures.,Kevin McAuley,2026-07-28,P0,M4,Run all simulator scenarios and verify heuristic reason codes,Not Started,
Build 1A — Bench Validation Gate,Perform power cycle test,Follow docs/power_cycle_test_plan.md. DB integrity_check = ok after hard power cut.,Kevin McAuley,2026-07-29,P0,M4,,Not Started,
Build 1A — Bench Validation Gate,Run secrets audit,grep -r SERVICE_ROLE /etc/spc20/ must return 0 matches.,Kevin McAuley,2026-07-29,P0,M4,,Not Started,
Build 1A — Bench Validation Gate,Complete and sign Gate 1 checklist,Fill in docs/phase_gate_signoff.md Gate 1. All items Pass. Sign off.,Kevin McAuley,2026-08-01,P0,M4,Run complete pytest suite,Not Started,
Build 1A — Bench Validation Gate,Create trial_runs END record for Bench phase,UPDATE trial_runs SET ended_at = now() WHERE trial_run_id = 'bench-run-001'.,Kevin McAuley,2026-08-01,P1,M4,Complete and sign Gate 1 checklist,Not Started,
